title, url, author, year_published
"Infinite Jest", "https://en.wikipedia.org/wiki/Infinite_Jest", "David Foster Wallace", 1996
"Ulysses", "https://en.wikipedia.org/wiki/Ulysses_(novel)", "James Joyce",1922
"Gravity's Rainbow", "https://en.wikipedia.org/wiki/Gravity%27s_Rainbow","Thomas Pynchon", 1973
"City on Fire", "https://en.wikipedia.org/wiki/City_on_Fire_(Hallberg_novel)", "Garth Risk Hallbert", 2015
"The Narrow Way to the Deep North", "https://en.wikipedia.org/wiki/The_Narrow_Road_to_the_Deep_North_(novel)", "Richard Flanagan",2013
"The Dispossessed", "https://en.wikipedia.org/wiki/The_Dispossessed", "Ursula Le Guin", 1974
"A Death in the Family: My Struggle Book 1", "https://en.wikipedia.org/wiki/My_Struggle_(Knausg%C3%A5rd_novels)", "Karl Ove Knausgård", 2009
"Conversations with Friends", "https://en.wikipedia.org/wiki/Conversations_with_Friends", "Sally Rooney", 2017
"La Septième Fonction du Langage", "https://fr.wikipedia.org/wiki/La_Septi%C3%A8me_Fonction_du_langage", "Laurent Binet", "2015"
"La Vérité sur l' Affaire Harry Quebert", "https://fr.wikipedia.org/wiki/La_V%C3%A9rit%C3%A9_sur_l%27affaire_Harry_Quebert", "Joël Dicker", 2012
